Día,Versión Liquidación,Estado,Fecha Liquidación,Fecha Reclamaciones,Versión Facturación,Fecha Facturación,Fecha Publicación Nota Agregada,Fecha Pagos,Fecha Cobros
01/12/2021,1,Pendiente de publicar,02/12/2021,09/12/2021,1,02/12/2021,07/12/2021,10/12/2021 10:00:00,13/12/2021
02/12/2021,1,Pendiente de publicar,03/12/2021,10/12/2021,1,03/12/2021,07/12/2021,10/12/2021 10:00:00,13/12/2021
03/12/2021,1,Pendiente de publicar,07/12/2021,13/12/2021,1,07/12/2021,07/12/2021,10/12/2021 10:00:00,13/12/2021
04/12/2021,1,Pendiente de publicar,07/12/2021,13/12/2021,1,07/12/2021,07/12/2021,10/12/2021 10:00:00,13/12/2021
05/12/2021,1,Pendiente de publicar,07/12/2021,13/12/2021,1,07/12/2021,07/12/2021,10/12/2021 10:00:00,13/12/2021
06/12/2021,1,Pendiente de publicar,07/12/2021,13/12/2021,1,07/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
07/12/2021,1,Pendiente de publicar,09/12/2021,14/12/2021,1,09/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
08/12/2021,1,Pendiente de publicar,09/12/2021,14/12/2021,1,09/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
09/12/2021,1,Pendiente de publicar,10/12/2021,15/12/2021,1,10/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
10/12/2021,1,Pendiente de publicar,13/12/2021,16/12/2021,1,13/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
11/12/2021,1,Pendiente de publicar,13/12/2021,16/12/2021,1,13/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
12/12/2021,1,Pendiente de publicar,13/12/2021,16/12/2021,1,13/12/2021,13/12/2021,15/12/2021 10:00:00,16/12/2021
13/12/2021,1,Pendiente de publicar,14/12/2021,17/12/2021,1,14/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
14/12/2021,1,Pendiente de publicar,15/12/2021,20/12/2021,1,15/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
15/12/2021,1,Pendiente de publicar,16/12/2021,21/12/2021,1,16/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
16/12/2021,1,Pendiente de publicar,17/12/2021,22/12/2021,1,17/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
17/12/2021,1,Pendiente de publicar,20/12/2021,23/12/2021,1,20/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
18/12/2021,1,Pendiente de publicar,20/12/2021,23/12/2021,1,20/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
19/12/2021,1,Pendiente de publicar,20/12/2021,23/12/2021,1,20/12/2021,20/12/2021,22/12/2021 10:00:00,23/12/2021
20/12/2021,1,Pendiente de publicar,21/12/2021,27/12/2021,1,21/12/2021,27/12/2021,29/12/2021 10:00:00,30/12/2021
21/12/2021,1,Pendiente de publicar,22/12/2021,28/12/2021,1,22/12/2021,27/12/2021,29/12/2021 10:00:00,30/12/2021
22/12/2021,1,Pendiente de publicar,23/12/2021,29/12/2021,1,23/12/2021,27/12/2021,29/12/2021 10:00:00,30/12/2021
