"id","name","description","filter","erp_model","context","field","function","freq","type_value","teams","create_date"
1,"Número de factures pendents","Num factures amb deute","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","","count","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
2,"Saldo pendent_a","Import de les factures amb deute (sumen els ""pendent"" de les factures amb deute)","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","residual","sum","daily","float","Cobraments","2022-09-29 15:46:17.225482+02"
3,"Saldo pendent_b","Import de les extra lines de les factures amb Descripcio = fracció. Aquest resultat és el que queda pendent dels fraccionaments","[(""name"", ""ilike"", ""%fraccio""), (""active"", ""="", ""TRUE"")]","giscedata.facturacio.extra","{""active_test"": False}","amount_pending","sum","daily","float","Cobraments","2022-09-29 15:46:17.225482+02"
6,"R1: Import","Import de les factures que estan en R1 amb data venciment avui","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""pending_state"", ""ilike"", ""%r1""), (""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","residual","sum","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
7,"R1: Número de factures","Num de factures que estan en R1 amb data venciment avui","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""pending_state"", ""ilike"", ""%r1""), (""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","","count","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
8,"Pobresa: Import","Import de les factures que estan en pobresa energètica amb data venciment avui","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""pending_state"", ""ilike"", ""%energetica""), (""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","residual","sum","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
9,"Pobresa: Número de factures","Num de factures que estan en pobresa energètica amb data venciment avui","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""pending_state"", ""ilike"", ""%energetica""), (""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","","count","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
10,"Fraccionament: Import_a","Import de les extra lines de les factures amb Descripcio = fracció. Aquest resultat és el que queda pendent dels fraccionaments","[(""name"", ""ilike"", ""%fraccio""), (""active"", ""="", ""TRUE"")]","giscedata.facturacio.extra","{""active_test"": False}","amount_pending","sum","daily","float","Cobraments","2022-09-29 15:46:17.225482+02"
11,"Fraccionament: Import_b","Import de les factures que estan en estat pendent ""fracció""","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""pending_state"", ""ilike"", ""%fraccio""),(""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","residual","sum","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
12,"Fraccionament: Númerode factures","Num de factures que estan en fraccionament","[(""type"", ""="", ""out_invoice""), (""invoice_id.pending_state.weight"", "">"", 0), (""pending_state"", ""ilike"", ""%fraccio""),(""date_due"", ""<="", ""__7_days_ago__"" )]","giscedata.facturacio.factura","{""type"":""out_invoice""}","","count","daily","int","Cobraments","2022-09-29 15:46:17.225482+02"
13,"Indic Procés - Total F1s amb error","F1s amb error dimportació","[(""state"", ""="", ""erroni"")]","giscedata.facturacio.importacio.linia","{}","","count","daily","int","Factura","2022-09-29 15:46:17.225482+02"
14,"Indic Procés - Total pòlisses amb incidència","Polisses en lot de facturació actiu, que tenen ""state"" = ""facturat_incident","[(""state"", ""="", ""facturat_incident"")]","giscedata.facturacio.contracte_lot","{""active_test"": False}","","count","daily","int","Factura","2022-09-29 15:46:17.225482+02"
15,"Indic Procés - Pòlisses amb incidència (7 dies o més)","Polisses en lot de facturació actiu, que tenen ""state"" = ""facturat_incident i que la data demissió de la factura (data factura) es dels últims 7 dies","[(""state"", ""="", ""facturat_incident""),(""date_invoice"",""<="",""__7_days_ago__"")]","giscedata.facturacio.contracte_lot","{""active_test"": False}","","count","daily","int","Factura","2022-09-29 15:46:17.225482+02"
16,"Indic Procés - Factures emeses (dia anterior)","Factures emeses el dia anterior a avui (ahir)","[(""type"", ""in"", [""out_invoice"", ""out_refund""]),(""date_invoice"",""="",""__yesterday__""),(""state"",""!="",""draft"")]","giscedata.facturacio.factura","{""type"":""out_invoice""}","","count","daily","int","Factura","2022-09-29 15:46:17.225482+02"
17,"Indic Procés - Import facturat (dia anterior)*","Importo total de les factures emeses el dia anterior a avui (ahir)","[(""type"", ""in"", [""out_invoice"", ""out_refund""]),(""date_invoice"",""="",""__yesterday__""),(""state"",""!="",""draft"")]","giscedata.facturacio.factura","{""type"":""out_invoice""}","amount_total","sum","daily","int","Factura","2022-09-29 15:46:17.225482+02"
18,"Indic CACs - Total CACs oberts/pendents","Total CACs oberts o pendents","[(""section_id"",""ilike"",""%factura""),(""state"",""in"",[""pending"",""open""])]","giscedata.atc","{}","","count","daily","int","Factura","2022-09-29 15:46:17.225482+02"
19,"Rebuts retornats: número","Número de rebut retornats ahir","[""&"", (""account_id.name"",""="",""DIARI DEVOLUCIONS REBUTS""), ""&"", (""date"",""="",""__3_days_ago__""), ""|"", (""ref"",""ilike"",""FE%""), ""|"", (""ref"",""ilike"",""RE%""), (""ref"",""ilike"",""AB%"")]","account.move.line","{}","","count","daily","int","Cobrament","2022-09-29 15:46:17.225482+02"
20,"Rebuts retornats: import","Import dels rebuts retornats ahir","[""&"", (""account_id.name"",""="",""DIARI DEVOLUCIONS REBUTS""), ""&"", (""date"",""="",""__3_days_ago__""), ""|"", (""ref"",""ilike"",""FE%""), ""|"", (""ref"",""ilike"",""RE%""), (""ref"",""ilike"",""AB%"")]","account.move.line","{}","amount_to_pay","sum","daily","float","Cobrament","2022-09-29 15:46:17.225482+02"
