price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Day 10-Jun-2022;194.35;11.68;6.39;192.99;8.6;4.66;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 11-Jun-2022;185.81;0.0;0.0;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 12-Jun-2022;164.33;0.0;0.0;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 13-Jun-2022;166.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 14-Jun-2022;166.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 15-Jun-2022;166.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 16-Jun-2022;166.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 17-Jun-2022;166.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 18-Jun-2022;150.68;-20.31;-11.88;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 19-Jun-2022;133.26;-17.97;-11.88;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 20-Jun-2022;166.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 21-Jun-2022;166.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 22-Jun-2022;166.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 23-Jun-2022;166.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 24-Jun-2022;166.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 25-Jun-2022;150.55;-20.33;-11.9;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 26-Jun-2022;133.15;-17.97;-11.89;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 27-Jun-2022;163.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 28-Jun-2022;163.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 29-Jun-2022;163.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 30-Jun-2022;163.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
