price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Day 10-Jun-2022;294.35;11.68;6.39;192.99;8.6;4.66;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 11-Jun-2022;285.81;0.0;0.0;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 12-Jun-2022;264.33;0.0;0.0;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 13-Jun-2022;266.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 14-Jun-2022;266.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 15-Jun-2022;266.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 16-Jun-2022;266.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 17-Jun-2022;266.41;-22.45;-11.89;167.98;-22.66;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 18-Jun-2022;250.68;-20.31;-11.88;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 19-Jun-2022;233.26;-17.97;-11.88;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 20-Jun-2022;266.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 21-Jun-2022;266.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 22-Jun-2022;266.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 23-Jun-2022;266.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 24-Jun-2022;266.29;-22.44;-11.89;167.86;-22.65;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 25-Jun-2022;250.55;-20.33;-11.9;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 26-Jun-2022;233.15;-17.97;-11.89;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 27-Jun-2022;263.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 28-Jun-2022;263.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 29-Jun-2022;263.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 30-Jun-2022;263.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 1-Jul-2022;163.17;-22.44;-12.09;164.71;-22.65;-12.09;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 2-Jul-2022;147.73;-20.31;-12.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 3-Jul-2022;130.65;-17.97;-12.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 4-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 5-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 6-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 7-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 8-Jul-2022;149.83;-22.44;-13.03;151.24;-22.65;-13.03;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 9-Jul-2022;135.65;-20.31;-13.02;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 10-Jul-2022;119.97;-17.97;-13.03;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 11-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 12-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 13-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 14-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 15-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 16-Jul-2022;135.1;-19.79;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 17-Jul-2022;119.48;-17.51;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 18-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 19-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 20-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 21-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 22-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 23-Jul-2022;135.1;-19.79;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 24-Jul-2022;119.48;-17.51;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
