price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Day 9-Jun-2022;182.67;-2.78;-1.5;177.84;-9.36;-5.0;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 10-Jun-2022;182.67;-2.78;-1.5;184.39;-2.81;-1.5;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 11-Jun-2022;185.81;0.0;0.0;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 12-Jun-2022;164.33;0.0;0.0;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 13-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 14-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 15-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 16-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 17-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 18-Jun-2022;170.99;-11.66;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 19-Jun-2022;151.23;-10.3;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 20-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 21-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 22-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 23-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 24-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 25-Jun-2022;170.88;-11.65;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 26-Jun-2022;151.12;-10.31;-6.39;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 27-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 28-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 29-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 30-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 1-Jul-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 2-Jul-2022;168.04;-11.65;-6.48;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 3-Jul-2022;148.62;-10.31;-6.49;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
