price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
2022-06-10;194.35;11.68;6.39;192.99;8.6;4.66;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-11;185.81;0.0;0.0;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-12;164.33;0.0;0.0;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-13;166.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-14;166.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-15;166.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-16;166.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-17;166.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-18;150.68;-20.31;-11.88;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-19;133.26;-17.97;-11.88;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-20;166.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-21;166.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-22;166.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-23;166.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-24;166.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-25;150.55;-20.33;-11.9;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-26;133.15;-17.97;-11.89;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-27;163.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-28;163.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-29;163.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-06-30;163.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-01;163.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-02;147.73;-20.31;-12.09;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-03;130.65;-17.97;-12.09;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-04;149.83;-22.44;-13.03;151.24;-22.65;-13.03;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-05;149.83;-22.44;-13.03;151.24;-22.65;-13.03;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-06;149.83;-22.44;-13.03;151.24;-22.65;-13.03;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-07;149.83;-22.44;-13.03;151.24;-22.65;-13.03;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-08;149.83;-22.44;-13.03;151.24;-22.65;-13.03;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-09;135.65;-20.31;-13.02;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-10;119.97;-17.97;-13.03;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-11;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-12;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-13;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-14;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-15;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-16;135.1;-19.79;-12.78;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-17;119.48;-17.51;-12.78;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-18;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-19;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-20;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-21;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-22;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-23;135.1;-19.79;-12.78;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-24;119.48;-17.51;-12.78;;;;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-25;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-26;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-27;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-28;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
2022-07-29;149.22;-21.86;-12.78;150.62;-22.07;-12.78;2022-06-09;2022-06-10 13:41:22.133099+00:00
