price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
2022-06-10;294.35;11.68;6.39;192.99;8.6;4.66;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-10;394.35;11.68;6.39;192.99;8.6;4.66;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-11;285.81;0.0;0.0;;;;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-11;385.81;0.0;0.0;;;;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-12;264.33;0.0;0.0;;;;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-12;364.33;0.0;0.0;;;;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-13;266.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-13;366.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-14;266.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-14;366.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-15;266.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-15;366.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-16;266.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-16;366.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-17;266.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-17;366.41;-22.45;-11.89;167.98;-22.66;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-18;250.68;-20.31;-11.88;;;;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-18;350.68;-20.31;-11.88;;;;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-19;233.26;-17.97;-11.88;;;;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-19;333.26;-17.97;-11.88;;;;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-20;366.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-20;266.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-21;366.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-21;266.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-22;366.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-22;266.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-23;366.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-23;266.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-24;366.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-24;266.29;-22.44;-11.89;167.86;-22.65;-11.89;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-25;350.55;-20.33;-11.9;;;;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-25;250.55;-20.33;-11.9;;;;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-26;333.15;-17.97;-11.89;;;;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-26;233.15;-17.97;-11.89;;;;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-27;263.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-27;363.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-28;263.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-28;363.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-29;363.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-10;2022-06-13 10:37:30.792188+00:00
2022-06-29;263.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-13 10:37:30.792188+00:00
2022-06-30;263.17;-22.44;-12.09;164.71;-22.65;-12.09;2022-06-09;2022-06-13 10:37:30.792188+00:00
