,dia,base_precio,base_dif,base_dif_per,punta_precio,punta_dif,punta_dif_per,request_time
0,2022-01-04,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-02 17:00:01.834816+00:00
1,2022-01-05,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-02 17:00:01.834816+00:00
2,2022-01-06,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-02 17:00:01.834816+00:00
3,2022-01-07,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-02 17:00:01.834816+00:00
4,2022-01-08,201.53,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
5,2022-01-09,163.43,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
6,2022-01-10,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-02 17:00:01.834816+00:00
7,2022-01-11,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-02 17:00:01.834816+00:00
8,2022-01-12,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-02 17:00:01.834816+00:00
9,2022-01-13,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-02 17:00:01.834816+00:00
10,2022-01-14,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-02 17:00:01.834816+00:00
11,2022-01-15,202.32,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
12,2022-01-16,164.06,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
13,2022-01-17,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-02 17:00:01.834816+00:00
14,2022-01-18,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-02 17:00:01.834816+00:00
15,2022-01-19,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-02 17:00:01.834816+00:00
16,2022-01-20,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-02 17:00:01.834816+00:00
17,2022-01-21,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-02 17:00:01.834816+00:00
18,2022-01-22,194.4,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
19,2022-01-23,157.64,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
20,2022-01-24,268.19,0.0,0.0,279.29,0.0,0.0,2022-01-02 17:00:01.834816+00:00
21,2022-01-25,268.19,0.0,0.0,279.29,0.0,0.0,2022-01-02 17:00:01.834816+00:00
22,2022-01-26,268.19,0.0,0.0,279.29,0.0,0.0,2022-01-02 17:00:01.834816+00:00
23,2022-01-27,268.19,0.0,0.0,279.29,0.0,0.0,2022-01-02 17:00:01.834816+00:00
24,2022-01-28,268.19,0.0,0.0,279.29,0.0,0.0,2022-01-02 17:00:01.834816+00:00
25,2022-01-29,201.92,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
26,2022-01-30,163.75,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
27,2022-01-31,188.14,0.0,0.0,195.92,0.0,0.0,2022-01-02 17:00:01.834816+00:00
28,2022-02-01,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
29,2022-02-02,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
30,2022-02-03,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
31,2022-02-04,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
32,2022-02-05,203.44,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
33,2022-02-06,164.99,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
34,2022-02-07,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
35,2022-02-08,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
36,2022-02-09,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
37,2022-02-10,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
38,2022-02-11,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
39,2022-02-12,203.44,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
40,2022-02-13,164.99,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
41,2022-02-14,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
42,2022-02-15,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
43,2022-02-16,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
44,2022-02-17,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
45,2022-02-18,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
46,2022-02-19,203.44,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
47,2022-02-20,164.99,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
48,2022-02-21,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
49,2022-02-22,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
50,2022-02-23,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
51,2022-02-24,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
52,2022-02-25,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
53,2022-02-26,203.44,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
54,2022-02-27,164.99,0.0,0.0,,,,2022-01-02 17:00:01.834816+00:00
55,2022-02-28,270.22,0.0,0.0,281.4,0.0,0.0,2022-01-02 17:00:01.834816+00:00
56,2022-01-04,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-03 17:00:02.361191+00:00
57,2022-01-05,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-03 17:00:02.361191+00:00
58,2022-01-06,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-03 17:00:02.361191+00:00
59,2022-01-07,267.66,0.0,0.0,278.74,0.0,0.0,2022-01-03 17:00:02.361191+00:00
60,2022-01-08,201.53,0.0,0.0,,,,2022-01-03 17:00:02.361191+00:00
61,2022-01-09,163.43,0.0,0.0,,,,2022-01-03 17:00:02.361191+00:00
62,2022-01-10,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-03 17:00:02.361191+00:00
63,2022-01-11,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-03 17:00:02.361191+00:00
64,2022-01-12,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-03 17:00:02.361191+00:00
65,2022-01-13,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-03 17:00:02.361191+00:00
66,2022-01-14,268.69,0.0,0.0,279.81,0.0,0.0,2022-01-03 17:00:02.361191+00:00
67,2022-01-15,202.32,0.0,0.0,,,,2022-01-03 17:00:02.361191+00:00
68,2022-01-16,164.06,0.0,0.0,,,,2022-01-03 17:00:02.361191+00:00
69,2022-01-17,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-03 17:00:02.361191+00:00
70,2022-01-18,258.18,0.0,0.0,268.86,0.0,0.0,2022-01-03 17:00:02.361191+00:00
