date,price_forecast,request_time
2022-04-14 22:00:00+00:00,198.47,2022-04-19 05:00:01.522276+00:00
2022-04-15 22:00:00+00:00,192.79,2022-04-19 05:00:01.522276+00:00
2022-04-16 22:00:00+00:00,170.51,2022-04-19 05:00:01.522276+00:00
2022-04-17 22:00:00+00:00,206.67,2022-04-19 05:00:01.522276+00:00
2022-04-18 22:00:00+00:00,206.67,2022-04-19 05:00:01.522276+00:00
2022-04-19 22:00:00+00:00,206.67,2022-04-19 05:00:01.522276+00:00
2022-04-20 22:00:00+00:00,206.67,2022-04-19 05:00:01.522276+00:00
2022-04-21 22:00:00+00:00,206.67,2022-04-19 05:00:01.522276+00:00
2022-04-22 22:00:00+00:00,187.12,2022-04-19 05:00:01.522276+00:00
2022-04-23 22:00:00+00:00,165.5,2022-04-19 05:00:01.522276+00:00
2022-04-24 22:00:00+00:00,258.2,2022-04-19 05:00:01.522276+00:00
2022-04-25 22:00:00+00:00,258.2,2022-04-19 05:00:01.522276+00:00
2022-04-26 22:00:00+00:00,258.2,2022-04-19 05:00:01.522276+00:00
2022-04-27 22:00:00+00:00,258.2,2022-04-19 05:00:01.522276+00:00
2022-04-28 22:00:00+00:00,258.2,2022-04-19 05:00:01.522276+00:00
2022-04-29 22:00:00+00:00,233.77,2022-04-19 05:00:01.522276+00:00
2022-04-30 22:00:00+00:00,206.75,2022-04-19 05:00:01.522276+00:00
2022-05-01 22:00:00+00:00,228.35,2022-04-19 05:00:01.522276+00:00
2022-05-02 22:00:00+00:00,228.35,2022-04-19 05:00:01.522276+00:00
2022-05-03 22:00:00+00:00,228.35,2022-04-19 05:00:01.522276+00:00
2022-05-04 22:00:00+00:00,228.35,2022-04-19 05:00:01.522276+00:00
2022-05-05 22:00:00+00:00,228.35,2022-04-19 05:00:01.522276+00:00
2022-05-06 22:00:00+00:00,206.76,2022-04-19 05:00:01.522276+00:00
2022-05-07 22:00:00+00:00,182.86,2022-04-19 05:00:01.522276+00:00
2022-05-08 22:00:00+00:00,228.33,2022-04-19 05:00:01.522276+00:00
2022-05-09 22:00:00+00:00,228.33,2022-04-19 05:00:01.522276+00:00
2022-05-10 22:00:00+00:00,228.33,2022-04-19 05:00:01.522276+00:00
2022-05-11 22:00:00+00:00,228.33,2022-04-19 05:00:01.522276+00:00
2022-05-12 22:00:00+00:00,228.33,2022-04-19 05:00:01.522276+00:00
2022-05-13 22:00:00+00:00,206.73,2022-04-19 05:00:01.522276+00:00
2022-05-14 22:00:00+00:00,182.84,2022-04-19 05:00:01.522276+00:00
2022-05-15 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-16 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-17 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-18 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-19 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-20 22:00:00+00:00,206.75,2022-04-19 05:00:01.522276+00:00
2022-05-21 22:00:00+00:00,182.86,2022-04-19 05:00:01.522276+00:00
2022-05-22 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-23 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-24 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-25 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-26 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-27 22:00:00+00:00,206.75,2022-04-19 05:00:01.522276+00:00
2022-05-28 22:00:00+00:00,182.86,2022-04-19 05:00:01.522276+00:00
2022-05-29 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
2022-05-30 22:00:00+00:00,228.36,2022-04-19 05:00:01.522276+00:00
